book,door,section,subject_number,subject_name,description
2,1,1,165,رفع الليبيين السلاح ضد الدولة,يعاقب بالإعدام كل ليبي رفع السلاح على ليبيا أو إلتحق على أي وجه بعمل في القوات المسلحة لدولة تحارب ليبيا. ولا عقاب على من وجد في أراضي الدولة المعادية وارتكب الفعل مرغما بمقتضى واجب تفرضه عليه قوانين تلك الدولة.
2,1,1,166,دس الدسائس مع الدولة الأجنبية لإثارة الحرب ضد ليبيا,كل من خـابر دولة أجنبية أو أحد موظفيها أو أي شخص آخر يعمـل لمصلحتها أو ألقى الدسائس إليها أو إليه بقصد استعدائها على ليبيا أو تمكينها من العدوان عليها يعاقب بالإعدام سواء تحقق الغرض المطلوب أو لم يتحقق.
2,1,1,167,دس الدسائس مع الأجنبي للإضراربمركز البلاد العسكري والسياسي,يعاقب بالسجن كل من ألقى الدسائس زمن السلم إلى دولة أجنبية أو الى أحد م،وظفيها وقصد بذلك الإضرار بمـركز الجمهورية العربية الليبية الحربي أو السياسي أو الدبلوماسي. وتطبق العقوبة ذاتها على من أتلف عمداً أو أخفى أو زور وثائق يعلم أنها تصلح لإثبات حقوق الجمهورية العربية الليبية قبل دولة أجنبية. وتكون العقوبة السجن المؤبد إذا ارتكبت الجرائم المذكورة زمن حرب، أو كان الجاني موظفاً عاماً أو موفداً في مهمة عامة أو كانت الحكومة قد عهدت إليه بأية مهمة كانت.
2,1,1,168,التجنيد ضد دولة أجنبية أو اتيان أعمال عدوانية ضدها,يعـاقب بالسجن كل من قام بغير إذن من الحكـومة بجمع جند ضد دولة أجنبية أو قام بأعمال أخرى عدوانية من شأنها أن تعرض الجمهورية العربية الليبية لخطر الحرب. وتكـون العقوبة السجن المؤبد إذا نجـم عن الفعل قطـع العلاقات الدبلوماسية أو ترتب على الأعمال العدوانية انتقام من الجمهورية العربية الليبية أو من مواطنيها أينما كانوا، أما إذا قامت الحرب فيعاقب الجاني بالإعدام.
2,1,1,169,الارتشاء من الأجنبي,إذا حصل الليبي ولو عن طريق غير مباشر على نقود أو أية منفعة أخرى من أجنبي أو حصل على وعد بذلك بقصد الاتيان بأعمال ضارة بمصالح البلاد يعاقب بالسجن وبغرامة تتراوح بين ألف دينار وخمسة الآف دينار، إذا اقترف الفعل في زمن سلم. ويعاقب بالسجن المؤبد إذا ارتكبت الجريمة في زمن الحرب، فإذا وقع الضرر بالفعل تكون العقوبة الإعدام. ويعاقب بنفس العقوبة الأجنبي الذي قدم النقود أو غيرها أو وعد بها.
2,1,1,170,المساس بأراضي الدولة وتسهيل الحرب ضدها,يعاقب بالإعـدام كل من سهل دخـول العدو في البلاد أو سلمه مدناً أو حصوناً أو منشآت أو مواقع أو مواني أو مخازن أو مصانع أسلحة أو سفناً أو طائرات مما يستعمل في الدفاع عن البلاد أو مما أعد لذلك أو وسائل مواصلات أو أسلحة أو ذخائر أو مهمـات حربية أو مؤناً أو أغذية أو أمده بالجنود أو بالرجـال أو بالنقود أو خدمه بأن نقل إليه أخباراً أو بأن كان له مرشداً أو حرض الليبيين سواء كانوا عسكريين أو مدنيين على الانضمام إلى العدو وبوجه عام كل من ساعد تقدم قوات العدو وذلك بإثارة الفتن أو بإلقاء الرعب في نفوس قوات الدفاع عن البلاد أو المدنيين أو بمنع اتصال القوات المسلحة بعضها بالبعض الآخر في لقاء العدو أو بزعزعة اخلاص القوات الوطنية للبلاد أو بأية طريقة أخرى.
2,1,1,171,إفشاء أسرار تتعلق بأمن الدولة لعملاء الحكومات الأجنبية أو الحصول عليها لغرض التجسس,يعاقب بالإعدام كل من زود حكومة أجنبية أو أحد عملائها أو أي شخص آخر يعمل لمصلحتها على أي وجه من الوجوه وبأية وسيلة، بسر يتعلق بالدفاع عن البلاد أو أي سر مماثل له. ويعاقب بنفس العقوبة كل من حصل على سر من هذا القبيل بأي طريقة كانت بقصد إفشائه رأسا أو بالواسطة إلى حكومة أجنبية أو أعدم ذلك السر لمصلحة دولة أجنبية أو جعله غير صالح للانتفاع به كلياً أو جزئياً.
2,1,1,172,التسلل إلى الأماكن العسكرية وحيازة وسائل التجسس دون مبرر,يعاقب بالسجن:- 1 – كل من دخل خلسة أو بالاحتيال في أماكن أو مناطق برية أو بحرية أو جوية يكون دخولها محظوراً حفظاً لمصلحة الدولة العسكرية. 2 – كل من عثر عليه في تلك الأماكن أو المناطق أو بجوارها وفي حيازته دون مبرر قانوني وسائل صالحة للتجسس. 3 – كل من عثر عليه يحمل دون مبرر قانوني أوراقاً أو وثائق أو أي شيء آخر أريد به تزويد معلومات تتعلق بسلامة البلاد أو أية معلومات أخرى تعتبر قانوناً من هذا القبيل. وإذا ارتكب فعل من الأفعال المنصوص عليها فيما تقدم زمن حرب كانت العقوبة السجن المؤبد. أما إذا استفاد العدو من ذلك الفعل فتكون العقوبة الإعدام.
2,1,1,173,الحصول على أخبار سرية تتعلق بالدفاع عن البلاد والأسرار المماثلة,يعاقب بالسجن وبغرامة تتراوح خمسمائة دينار وألف دينار :- 1 – كل من حصل بأية وسيلة من وسائل الاحتيال على سر من أسرار الدفاع عن البلاد وذلك لغرض غير تسليمه لدولة أجنبية أو لاحد عملائها أو لأي شخص يعمل لمصلحتها. 2 – كـل مـن نظـم أو استعمل أية وسيلة من وسـائل الاتصـال السلكي أو اللاسلكي أو ما إليها بقصد الحصول على أسرار الدفاع عن البلاد أو ما هو في حكمها أو بقصد تبليغها لغير أغراض التجسس. وتكون العقوبة السجن المؤبد إذا ارتكب الفعل زمن حرب.
2,1,1,174,إذاعة أسرار الدفاع,يعاقب بالسجن وبغرامة تتراوح بين خمسمائة دينار وألف دينار كل من أذاع بأية وسيلة كانت أسراراً تتعلق بالدفاع عن البلاد أو ما هو في حكمها. وتكون العقوبة السجن المؤبد إذا كان الجاني موظفاً عمومياً أو ذا صفة نيابية عامة أو موفداً في مهمة أو عهدت إليه الحكومة بعمل أو إذا ألحقت الجريمة ضرراً بالاستعدادات الحربية للدفاع عن البلاد. وتكون العقوبة الإعدام إذا ارتكبت الجريمة زمن حرب.
